日期,销售额
2024-10-12,73189
2024-10-13,58287
2024-10-14,67863
2024-10-15,27922
2024-10-16,61201
2024-10-17,60534
2024-10-18,97906
2024-10-19,71211
2024-10-20,40003
2024-10-21,99943
2024-10-22,55750
2024-10-23,97964
2024-10-24,36321
2024-10-25,70330
2024-10-26,31144
2024-10-27,34613
2024-10-28,17640
2024-10-29,21432
2024-10-30,15872
2024-10-31,68811
2024-11-01,38766
2024-11-02,16399
2024-11-03,55595
2024-11-04,57559
2024-11-05,53692
2024-11-06,17317
2024-11-07,18844
2024-11-08,71589
2024-11-09,31618
2024-11-10,55999
2024-11-11,33493
2024-11-12,97117
2024-11-13,10788
2024-11-14,18691
2024-11-15,46134
2024-11-16,41542
2024-11-17,29077
2024-11-18,59784
2024-11-19,85827
2024-11-20,10840
2024-11-21,52120
2024-11-22,79069
2024-11-23,71751
2024-11-24,24545
2024-11-25,89623
2024-11-26,29799
2024-11-27,61603
2024-11-28,72703
2024-11-29,66202
2024-11-30,55395
2024-12-01,16191
2024-12-02,81674
2024-12-03,72776
2024-12-04,16556
2024-12-05,49681
2024-12-06,96796
2024-12-07,99366
2024-12-08,84437
2024-12-09,17448
2024-12-10,72856
2024-12-11,40886
2024-12-12,61264
2024-12-13,13103
2024-12-14,16883
2024-12-15,93789
2024-12-16,35211
2024-12-17,55468
2024-12-18,93741
2024-12-19,38982
2024-12-20,88906
2024-12-21,50478
2024-12-22,30050
2024-12-23,96690
2024-12-24,29800
2024-12-25,25476
2024-12-26,81295
2024-12-27,75993
2024-12-28,13274
2024-12-29,47631
2024-12-30,99403
2024-12-31,86688
